Congruent,Incongruent,,,,,,,,,
12.079,19.278,-7.199,0.765791667,,,14.051125,22.01591667,mean,-7.964791667,-7.97
16.791,18.741,-1.95,6.014791667,,,,,s,4.86482691,4.86
9.564,21.214,-11.65,-3.685208333,,,,,t-statistical,-8.02,
8.63,15.687,-7.057,0.907791667,,,,,t-cratical,2.069,
14.669,22.803,-8.134,-0.169208333,,,,,,,
12.238,20.878,-8.64,-0.675208333,,,,,CI,-10.01,-5.91
14.692,24.572,-9.88,-1.915208333,,,,,,,
8.987,17.394,-8.407,-0.442208333,,,,,,,
9.401,20.762,-11.361,-3.396208333,,,,,,,
14.48,26.282,-11.802,-3.837208333,,,,,,,
22.328,24.524,-2.196,5.768791667,,,,,,,
15.298,18.644,-3.346,4.618791667,,,,,,,
15.073,17.51,-2.437,5.527791667,,,,,,,
16.929,20.33,-3.401,4.563791667,,,,,,,
18.2,35.255,-17.055,-9.090208333,,,,,,,
12.13,22.158,-10.028,-2.063208333,,,,,,,
18.495,25.139,-6.644,1.320791667,,,,,,,
10.639,20.429,-9.79,-1.825208333,,,,,,,
11.344,17.425,-6.081,1.883791667,,,,,,,
12.369,34.288,-21.919,-13.95420833,,,,,,,
12.944,23.894,-10.95,-2.985208333,,,,,,,
14.233,17.96,-3.727,4.237791667,,,,,,,
19.71,22.058,-2.348,5.616791667,,,,,,,
16.004,21.157,-5.153,2.811791667,,,,,,,
